cluster_final,age_scaled,gender_female,role_backend,role_frontend,role_devops,role_leadership,role_enabling,role_one_person_shop,work_multi_role,phys_interview_open_ord,mental_interview_open_ord,career_hurt_ord,coworker_negative_ord,share_family_open_ord,share_family_na,family_history_ord,mh_past_ord,mh_current_ord,mh_diagnosed_bin,mh_treatment_bin,interfere_treated_ord,interfere_treated_na,interfere_untreated_ord,interfere_untreated_na,remote_work_ord
0,0.054,0.297,0.472,0.339,0.186,0.233,0.261,0.128,0.422,0.917,0.376,1.393,1.091,2.677,0.008,1.478,1.767,1.55,0.827,0.897,1.397,0.049,2.529,0.014,1.013
1,-0.078,0.154,0.575,0.366,0.212,0.244,0.208,0.09,0.427,0.98,0.585,1.271,0.951,2.541,0.178,0.625,0.386,0.288,0.032,0.141,0.131,0.875,0.441,0.773,0.998
